product_category,orders,late_orders,late_rate_pct,gmv,avg_review,avg_delivery_days
bed_bath_table,9267,811,8.75,1022955.77,4.00,12.97
health_beauty,8610,773,8.98,1229557.50,4.23,12.01
sports_leisure,7513,584,7.77,952840.40,4.23,12.21
furniture_decor,6258,535,8.55,706237.17,4.06,13.02
computers_accessories,6518,502,7.70,888055.59,4.08,13.14
watches_gifts,5491,468,8.53,1163465.91,4.12,12.78
housewares,5734,399,6.96,614341.62,4.19,11.05
telephony,4086,349,8.54,309631.94,4.05,12.94
auto,3802,328,8.63,577838.39,4.15,12.28
toys,3782,286,7.56,467179.98,4.24,11.67
garden_tools,3443,274,7.96,469135.40,4.18,13.62
baby,2800,258,9.21,399050.67,4.10,12.64
electronics,2516,247,9.82,154935.94,4.12,12.90
cool_stuff,3552,243,6.84,609158.00,4.22,12.35
perfumery,3060,228,7.45,385315.55,4.26,11.85
stationery,2264,176,7.77,223788.69,4.30,12.76
unknown,1390,127,9.14,170660.74,4.01,12.70
fashion_bags_accessories,1812,121,6.68,148945.19,4.24,11.19
office_furniture,1248,114,9.13,266853.43,3.65,20.53
pet_shop,1684,106,6.29,211005.96,4.27,11.33
consoles_games,1011,83,8.21,144384.01,4.18,13.64
construction_tools_construction,736,67,9.10,142108.49,4.13,10.84
luggage_accessories,1019,56,5.50,138701.63,4.37,10.85
musical_instruments,611,54,8.84,184315.74,4.23,13.05
home_appliances,747,50,6.69,78832.48,4.21,11.29
audio,346,45,13.01,50413.61,3.83,13.47
food,440,44,10.00,28651.25,4.33,9.76
home_confort,392,41,10.46,58008.45,3.88,13.69
home_construction,483,39,8.07,81407.57,3.99,13.42
small_appliances,609,38,6.24,182754.12,4.26,10.96
furniture_living_room,414,35,8.45,67350.70,4.07,13.85
books_general_interest,496,34,6.87,45302.15,4.53,11.51
books_technical,256,28,10.94,18702.23,4.43,10.61
construction_tools_lights,242,22,9.09,39957.00,4.15,9.81
industry_commerce_and_business,229,19,8.33,38139.21,4.22,10.82
drinks,287,19,6.62,21529.84,4.24,10.36
home_appliances_2,227,16,7.05,107953.95,4.15,13.87
fashion_shoes,234,15,6.41,22971.47,4.26,15.73
art,195,15,7.69,23657.30,4.10,11.24
fashion_underwear_beach,117,15,12.82,9305.95,4.01,13.98
food_drink,221,14,6.33,14942.88,4.44,10.80
costruction_tools_garden,190,13,6.84,25096.28,4.25,11.85
market_place,269,13,4.83,26880.48,4.07,12.05
computers,177,13,7.34,218684.14,4.22,13.89
christmas_supplies,125,12,9.60,8737.84,4.11,15.35
kitchen_dining_laundry_garden_furniture,241,11,4.56,45531.98,4.13,11.81
fixed_telephony,207,11,5.31,54610.33,3.97,12.31
air_conditioning,242,10,4.13,51974.27,4.12,11.58
agro_industry_and_commerce,177,9,5.08,70566.10,4.11,11.41
signaling_and_security,138,8,5.80,21315.05,4.12,10.85
construction_tools_safety,159,7,4.40,38773.22,3.97,11.78
furniture_bedroom,90,7,7.78,19051.80,4.26,13.64
costruction_tools_tools,97,6,6.19,15903.95,4.43,12.19
small_appliances_home_oven_and_coffee,72,5,6.94,46589.56,4.43,9.91
cine_photo,63,5,7.94,6674.47,4.33,10.45
fashion_male_clothing,105,5,4.76,10427.43,3.85,12.71
tablets_printing_image,79,5,6.33,7528.41,4.16,12.81
furniture_mattress_and_upholstery,37,5,13.51,4323.38,3.89,14.41
dvds_blu_ray,56,4,7.14,4542.59,4.20,12.96
home_comfort_2,24,4,16.67,760.27,3.83,14.47
music,38,3,7.89,6034.35,4.21,11.64
fashio_female_clothing,35,2,5.71,2580.04,3.89,12.62
books_imported,50,2,4.00,4418.86,4.44,8.16
arts_and_craftmanship,23,2,8.70,1814.01,4.17,5.78
fashion_sport,26,2,7.69,2094.52,4.38,10.62
party_supplies,38,1,2.63,4465.19,4.08,8.98
portateis_cozinha_e_preparadores_de_alimentos,13,1,7.69,3933.63,3.62,8.42
diapers_and_hygiene,24,1,4.17,1365.89,3.92,9.62
flowers,29,1,3.45,1110.04,4.39,11.47
cds_dvds_musicals,12,0,0.00,730.00,4.67,10.90
la_cuisine,13,0,0.00,2054.99,4.25,7.72
pc_gamer,7,0,0.00,1306.95,3.43,10.31
security_and_services,2,0,0.00,283.29,2.50,15.13
fashion_childrens_clothes,7,0,0.00,519.95,5.00,8.80
