month,customer_type,orders,gmv
2017-01,New,717,109478.27
2017-01,Returning,33,2320.09
2017-02,New,1628,231578.86
2017-02,Returning,25,2644.54
2017-03,New,2503,355271.12
2017-03,Returning,43,3927.73
2017-04,New,2256,334196.86
2017-04,Returning,47,6472.82
2017-05,New,3451,476272.14
2017-05,Returning,95,13066.11
2017-06,New,3037,411829.00
2017-06,Returning,98,10094.37
2017-07,New,3752,467882.00
2017-07,Returning,120,13722.52
2017-08,New,4057,536432.15
2017-08,Returning,136,18267.55
2017-09,New,4004,590061.00
2017-09,Returning,146,17338.67
2017-10,New,4328,631452.11
2017-10,Returning,150,16795.54
2017-11,New,7060,961011.57
2017-11,Returning,229,26753.80
2017-12,New,5338,700455.50
2017-12,Returning,175,25577.69
2018-01,New,6842,896613.09
2018-01,Returning,227,28031.91
2018-02,New,6288,797353.83
2018-02,Returning,267,29083.30
2018-03,New,6774,926565.75
2018-03,Returning,229,26790.50
2018-04,New,6582,945946.36
2018-04,Returning,216,27587.73
2018-05,New,6506,944255.38
2018-05,Returning,243,33289.31
2018-06,New,5878,827275.68
2018-06,Returning,221,28802.18
2018-07,New,5949,841553.97
2018-07,Returning,210,26399.49
2018-08,New,6144,812594.37
2018-08,Returning,207,25982.27
