purchase_month,orders,customers,gmv,aov
2017-01,750,718,111798.36,149.06
2017-02,1653,1630,234223.40,141.70
2017-03,2546,2508,359198.85,141.08
2017-04,2303,2274,340669.68,147.92
2017-05,3546,3479,489338.25,138.00
2017-06,3135,3076,421923.37,134.58
2017-07,3872,3802,481604.52,124.38
2017-08,4193,4114,554699.70,132.29
2017-09,4150,4083,607399.67,146.36
2017-10,4478,4417,648247.65,144.76
2017-11,7289,7183,987765.37,135.51
2017-12,5513,5450,726033.19,131.69
2018-01,7069,6974,924645.00,130.80
2018-02,6555,6400,826437.13,126.08
2018-03,7003,6914,953356.25,136.14
2018-04,6798,6744,973534.09,143.21
2018-05,6749,6693,977544.69,144.84
2018-06,6099,6061,856077.86,140.36
2018-07,6159,6100,867953.46,140.92
2018-08,6351,6310,838576.64,132.04
