customer_state,orders,customers,gmv,aov,late_orders,late_rate_pct,avg_review,avg_delivery_days
SP,40406,39065,5055587.13,125.12,2384,5.90,4.25,8.72
RJ,12310,11879,1751433.85,142.28,1664,13.52,3.97,15.28
MG,11319,10969,1548206.88,136.78,637,5.63,4.19,11.96
RS,5328,5151,726373.92,136.33,382,7.17,4.19,15.27
PR,4903,4750,664048.00,135.44,246,5.02,4.24,11.95
SC,3537,3441,504774.07,142.71,346,9.78,4.13,14.93
BA,3253,3155,493339.26,151.66,457,14.05,3.93,19.31
DF,2074,2013,295454.64,142.46,147,7.09,4.13,12.92
GO,1950,1889,281932.21,144.58,160,8.21,4.10,15.59
ES,1992,1925,267783.66,134.43,244,12.25,4.08,15.76
PE,1587,1545,250639.89,157.93,172,10.84,4.08,18.43
CE,1273,1252,218107.70,171.33,196,15.40,3.94,21.22
PA,942,918,173382.99,184.06,117,12.42,3.91,23.74
MT,885,855,152143.82,171.91,60,6.78,4.14,18.05
MA,713,696,116305.12,163.12,140,19.64,3.83,21.52
MS,701,681,115429.97,164.66,81,11.55,4.16,15.60
PB,516,503,112536.92,218.09,57,11.05,4.07,20.37
PI,475,463,84511.00,177.92,76,16.00,3.99,19.42
RN,470,460,81376.97,173.14,51,10.85,4.14,19.19
AL,396,386,78805.73,199.00,95,23.99,3.85,24.50
SE,332,326,56288.74,169.54,51,15.36,3.90,21.42
TO,274,267,48402.51,176.65,35,12.77,4.15,17.64
RO,243,231,45682.76,187.99,7,2.88,4.17,19.35
AM,145,140,22155.84,152.80,6,4.14,4.24,26.40
AC,80,76,15930.97,199.14,3,3.75,4.09,21.02
AP,67,66,13374.81,199.62,3,4.48,4.24,27.17
RR,40,39,7017.77,175.44,5,12.50,3.90,29.89
